NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE, NOTES
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.part_time,float,RET_PTL4,,,IPEDS,Shown/used on consumer website;    ibid
PCTFLOAN: 
Percent of all undergraduate students receiving a federal student loan,aid,federal_loan_rate,float,PCTFLOAN,,,IPEDS,"Shown/used on consumer website;    The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009-10 academic year."
UG25ABV: 
Percentage of undergraduates aged 25 and above,student,share_25_older,float,UG25ABV,,,IPEDS,Shown/used on consumer website;    The proportion of undergraduates who are aged 25 or older
MD_EARN_WNE_P10: 
Median earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.median,integer,MD_EARN_WNE_P10,,,Treasury,Shown/used on consumer website.
GT_25K_P6: 
"Share of students earning over $25,000/year (threshold earnings) 6 years after entry",earnings,6_yrs_after_entry.percent_greater_than_25000,float,GT_25K_P6,,,Treasury,Shown/used on consumer website.
GRAD_DEBT_MDN_SUPP: 
"Median debt of completers, suppressed for n=30",aid,median_debt_suppressed.completers.overall,float,GRAD_DEBT_MDN_SUPP,,,NSLDS,Shown/used on consumer website.
GRAD_DEBT_MDN10YR_SUPP: 
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",aid,median_debt_suppressed.completers.monthly_payments,float,GRAD_DEBT_MDN10YR_SUPP,,,NSLDS,Shown/used on consumer website.
RPY_3YR_RT_SUPP: 
"3-year repayment rate, suppressed for n=30",repayment,3_yr_repayment_suppressed.overall,float,RPY_3YR_RT_SUPP,,,NSLDS,Shown/used on consumer website.
C150_L4_POOLED_SUPP: 
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) , pooled in two-year rolling averages and suppressed for small n size",completion,rate_suppressed.lt_four_year_150percent,float,C150_L4_POOLED_SUPP,,,IPEDS,Shown/used on consumer website.
C150_4_POOLED_SUPP: 
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) , pooled in two-year rolling averages and suppressed for small n size.",completion,rate_suppressed.four_year,float,C150_4_POOLED_SUPP,,,IPEDS,Shown/used on consumer website.
